Question Bank Name *,Question Bank Description,Question Bank Keywords,Default Mark,Difficulty Level *,Shuffle Answers *,Question Text *,Answer1 *,Correct Answer1,Answer1 Rationale,Answer2 *,Correct Answer2,Answer2 Rationale,Answer3,Correct Answer3,Answer3 Rationale,Answer4,Correct Answer4,Answer4 Rationale,Answer5,Correct Answer5,Answer5 Rationale,Answer6,Correct Answer6,Answer6 Rationale,Question Keyword
Pravesha-Lesson1-1,Combine the consonants,,1,Easy,Yes,त् + प् + आ = ________,त्पा,1,,तपा ,,,प्ता,,,तप ,,,,,,,,,
Pravesha-Lesson1-1,Combine the consonants,,1,Easy,Yes,क् + म् + अ = ________,क्म,1,,कम,,,कामा ,,,म्का,,,,,,,,,
Pravesha-Lesson1-1,Combine the consonants,,1,Easy,Yes,ष् + य् + ए  = ________,ष्ये,1,,षये ,,,य्षे ,,,ष्यए ,,,,,,,,,
Pravesha-Lesson1-1,Combine the consonants,,1,Easy,Yes,स् + फ् + आ = ________,स्फा,1,,सफा,,,फसा ,,,फसआ ,,,,,,,,,
Pravesha-Lesson1-1,Combine the consonants,,1,Easy,Yes,न् + त् + र् + अ = _______,न्त्र,1,,नत्र ,,,न्तरा ,,,नतरा ,,,,,,,,,
Pravesha-Lesson1-1,Combine the consonants,,1,Easy,Yes,क् + त् + व् + आ = _______,क्त्वा,1,,कत्वा ,,,क्तवा ,,,कात्व ,,,,,,,,,
Pravesha-Lesson1-1,Combine the consonants,,1,Easy,Yes,त् + म् + य् + अम् = ________,त्म्यम्,1,,तम्यम् ,,,त्मयं ,,,तमया ,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,कः पठति ? _______ पठति|,बालकः ,1,,छात्रा ,,,शिष्या ,,,पुस्तकम्,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,का खादति ? _______ खादति|,अजा ,1,,बिडालः ,,,शुनकः ,,,मूषकः ,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,किम् विकसति ? _______ विकसति|,पुष्पम् ,1,,वृक्षः ,,,फलम् ,,,शाखा ,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,के लिखन्ति ? _______ लिखन्ति|,पुरुषाः ,1,,बालिकाः ,,,महिलाः ,,,छत्र:,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,काः यच्छन्ति ? _______ यच्छन्ति,सेविकाः ,1,,पुरुषाः ,,,तरुणाः ,,,बालकाः ,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,कानि पतन्ति ? _______ पतन्ति|,पर्णानि ,1,,जलम् ,,,वृक्षाः ,,,शाखाः ,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,सेवकः तिष्ठति । _____ तिष्ठति?,कः ,1,,कौ ,,,के ,,,का:,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,शिष्याः पठन्ति ।  ______ पठन्ति?,के ,1,,कौ ,,,कः ,,,का:,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,सन्ध्या भवति | ______ भवति?,का ,1,,के ,,,का:,,,कः,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,बालिकाः धावन्ति | _____ धावन्ति?,का:,1,,के ,,,का ,,,कः,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,जलं स्रवति । ______ स्रवति?,किं ,1,,के ,,,कानि ,,,के,,,,,,,,,
Pravesha-Lesson1-2,Fill in the blanks with appropriate answer of question based on the given sentences,,1,Easy,Yes,पुष्पाणि विकसन्ति । ______ विकसन्ति ?,कानि ,1,,के ,,,किं ,,,के,,,,,,,,,
